X,Y,id,ESPECIE,FRECUENCIA,OBSERV,FOTOGRAFIA,CALIBRE,icon_url
-3.00014420105315,43.0394146202536,,Populus nigra,,,DCIM/arboles_20220907160100404.jpg,"110",./16.png
-3.00014020678332,43.0395023354717,,Salix Cinerea,,3 troncos,DCIM/arboles_20220907160250447.jpg,"15",./3.png
-3.0002573561924,43.0395759900508,,Salix babylonica,,,DCIM/arboles_20220907160347816.jpg,"55",./20.png
-3.00024909175626,43.0396456202379,,Salix babylonica,,,DCIM/arboles_20220907160424460.jpg,"55",./20.png
-3.0003458316897,43.0397352200147,,Tilia americana,,,DCIM/arboles_20220907160613644.jpg,"60",./6.png
-3.00022565381201,43.0397789336221,,Tilia americana,,,DCIM/arboles_20220907160641166.jpg,"50",./6.png
-3.00066217349405,43.0398501842129,,Populus nigra,,,DCIM/arboles_20220907160820891.jpg,"115",./16.png
-3.00074641894068,43.0398957777482,,Populus nigra,,,DCIM/arboles_20220907160941234.jpg,"95",./16.png
-3.00071711404386,43.0399749789293,,Populus nigra,,,DCIM/arboles_20220907161020649.jpg,"100",./16.png
-3.00073483590357,43.0399359803648,,Populus nigra,,Tocón,DCIM/arboles_20220907161124372.jpg,"90",./16.png
-3.00056115720387,43.0399333814514,,Tilia americana,,,DCIM/arboles_20220907161253394.jpg,"40",./6.png
-3.00070648152875,43.0400516759503,,Tilia americana,,,DCIM/arboles_20220907161335674.jpg,"40",./6.png
-3.00065115345256,43.0400035685097,,Tilia americana,,,DCIM/arboles_20220907161412630.jpg,"40",./6.png
-3.00061481421786,43.0399680889024,,Tilia americana,,,DCIM/arboles_20220907161440687.jpg,"40",./6.png
-3.00084095002616,43.0399730402293,,Robinia pseudoacacia,,,DCIM/arboles_20220907161533327.jpg,"20",./13.png
-3.00089831861707,43.0399856828555,,Robinia pseudoacacia,,,DCIM/arboles_20220907161604069.jpg,"35",./13.png
-3.00077895414008,43.0400647118474,,Robinia pseudoacacia,,,DCIM/arboles_20220907161639975.jpg,"25",./13.png
-3.00075489287802,43.04011335545,,Tilia americana,,,DCIM/arboles_20220907161733782.jpg,"45",./6.png
-3.00065508371415,43.0401665594822,,Tilia americana,,,DCIM/arboles_20220907161814579.jpg,"30",./6.png
-3.00060814687748,43.0402044362547,,Tilia americana,,,DCIM/arboles_20220907161846061.jpg,"40",./6.png
-3.00075268334809,43.0401679996863,,Populus nigra,,,DCIM/arboles_20220907162021036.jpg,"60",./16.png
-3.0007530524822,43.0402361677394,,Populus nigra,,,DCIM/arboles_20220907162108023.jpg,"55",./16.png
-3.00075328258994,43.0403026124582,,Populus nigra,,,DCIM/arboles_20220907162134575.jpg,"65",./16.png
-3.0008321161612,43.0403665599829,,Populus nigra,,,DCIM/arboles_20220907162310452.jpg,"100",./16.png
-3.00084095630929,43.0404331070666,,Populus nigra,,,DCIM/arboles_20220907162347795.jpg,"105",./16.png
-3.00084242915399,43.0404065422267,,Populus alba,,,DCIM/arboles_20220907162418034.jpg,"85",./17.png
-3.00086575571295,43.0404615627663,,Populus nigra,,Tocón,DCIM/arboles_20220907162515375.jpg,"70",./16.png
-3.00086833427028,43.0404929002398,,Populus nigra,,Seco,DCIM/arboles_20220907162550573.jpg,"95",./16.png
-3.0008683348303,43.0405326124073,,Populus nigra,,Seco,DCIM/arboles_20220907162632135.jpg,"90",./16.png
-3.00086747612733,43.0405801589543,,Populus nigra,,,DCIM/arboles_20220907162702386.jpg,"110",./16.png
-3.00087091471143,43.040657241955,,Populus nigra,,,DCIM/arboles_20220907162728862.jpg,"95",./16.png
-3.00086617129078,43.0407379027301,,Populus nigra,,,DCIM/arboles_20220907162810594.jpg,"100",./16.png
-3.0008661727883,43.0408443597803,,Populus nigra,,,DCIM/arboles_20220907162849039.jpg,"110",./16.png
-3.00086551624364,43.0408930836335,,Populus nigra,,,DCIM/arboles_20220907162916379.jpg,"100",./16.png
-3.00085643209618,43.0409436919481,,Populus nigra,,,DCIM/arboles_20220907162942895.jpg,"115",./16.png
-3.00086462536918,43.0408066674665,,Acer campestre,,,DCIM/arboles_20220907163110575.jpg,"45",./21.png
-3.00069696521713,43.0410015710462,,Liquidambar styraciflua,,Planton,DCIM/arboles_20220907163320218.jpg,"5",./22.png
-3.0006625816659,43.0410193354523,,Liquidambar styraciflua,,,DCIM/arboles_20220907163502643.jpg,"20",./22.png
-3.00063934048358,43.0410280292857,,Liquidambar styraciflua,,,DCIM/arboles_20220907163502643.jpg,"20",./22.png
