X,Y,Nombre,ARGAZKIA1,ARGAZKIA2,OBS,UUID,icon_url
524645.092554633,4793500.98788618,"1",,,,,./0.png
524692.003643817,4793510.58156261,"2",,,,,./0.png
524745.469957996,4793553.56034345,"3",,,,,./0.png
524777.542414864,4793586.3245134,"4",,,,,./0.png
524779.066021445,4793595.16173657,"5",,,,,./0.png
524747.859231855,4793637.57741048,"6",,,,,./0.png
524736.863993713,4793668.67801356,"7",,,,,./0.png
524711.802232433,4793695.34146639,"8",,,,,./0.png
524172.62762722,4793928.59248909,"21",,,,,./0.png
524332.60422092,4793537.71091104,"38",,,,,./0.png
524298.098674106,4793623.70030647,"39",,,,,./0.png
524260.637579634,4793717.8998224,"40",,,,,./0.png
524197.265326754,4793843.51850412,"41",,,,,./0.png
524150.848999725,4793832.21097713,"42",,,,,./0.png
524198.103379743,4793697.01743808,"43",,,,,./0.png
524249.328584431,4793583.19472362,"44",,,,,./0.png
524289.427455783,4793501.8533965,"45",,,,,./0.png
524271.050352165,4793473.31420516,"46",,,,,./0.png
524258.559553271,4793517.8724013,"47",,,,,./0.png
524241.897946071,4793530.68332419,"48",,,,,./0.png
524220.875006525,4793527.96335117,"49",,,,,./0.png
524217.225412242,4793539.60487504,"50",,,,,./0.png
524114.950595815,4793582.94787554,"51",,,,,./0.png
524122.216080848,4793606.5496483,"57",,,,,./0.png
524085.406433503,4793627.11745924,"58",,,,,./0.png
524056.00924599,4793634.96768479,"59",,,,,./0.png
524024.286503255,4793611.63245142,"60",,,,,./0.png
524012.48205353,4793581.65609691,"61",,,,,./0.png
524046.149247212,4793571.71697624,"62",,,,,./0.png
524015.892123658,4793543.53647634,"63",,,,,./0.png
523974.500561933,4793507.4460005,"64",,,,,./0.png
523962.650992668,4793515.31715481,"65",,,,,./0.png
523919.765034314,4793485.00635733,"66",,,,,./0.png
523917.011069618,4793570.3707556,"67",,,,,./0.png
523915.434544003,4793630.67111777,"68",,,,,./0.png
523918.765398839,4793646.74581564,"69",,,,,./0.png
523914.655425141,4793660.47155306,"70",,,,,./0.png
523898.678039368,4793775.25373966,"71",,,,,./0.png
523860.237149724,4793903.60483871,"72",,,,,./0.png
523834.434260161,4794009.9293355,"73",,,,,./0.png
523805.968476457,4794087.2055308,"74",,,,,./0.png
523851.540635173,4794111.59862006,"75",,,,,./0.png
523904.869161553,4794159.66176915,"76",,,,,./0.png
523965.363278478,4794164.47470329,"77",,,,,./0.png
524016.872554545,4794178.61094675,"78",,,,,./0.png
524033.700471763,4794160.16991364,"79",,,,,./0.png
524057.650851785,4794145.48421322,"81",,,,,./0.png
524054.708289772,4794141.57614096,"82",,,,,./0.png
524094.726339644,4794123.3299089,"83",,,,,./0.png
524110.378429508,4794092.53230835,"84",,,,,./0.png
524138.917975826,4794077.98311205,"85",,,,,./0.png
524157.579133965,4794082.65122737,"86",,,,,./0.png
524182.113278857,4794108.19926762,"87",,,,,./0.png
524216.846023317,4794218.59658424,"92",,,,,./0.png
524237.59968106,4794252.61231805,"93",,,,,./0.png
524264.411448397,4794280.04322219,"94",,,,,./0.png
524302.653825323,4794278.79964093,"95",,,,,./0.png
524327.914446221,4794268.43779502,"96",,,,,./0.png
524371.498654393,4794230.56734731,"97",,,,,./0.png
524415.687922232,4794190.17893236,"98",,,,,./0.png
524458.396321318,4794151.14401216,"99",,,,,./0.png
525171.522605898,4793679.5778427,"100",,,,,./0.png
525214.501781637,4793666.67150696,"101",,,,,./0.png
525221.81754371,4793625.7696007,"102",,,,,./0.png
525217.378353853,4793552.39290844,"103",,,,,./0.png
525212.026156496,4793479.0703066,"104",,,,,./0.png
525206.24362462,4793395.29631772,"105",,,,,./0.png
525211.053347871,4793315.70226608,"106",,,,,./0.png
525219.033763856,4793250.75300223,"107",,,,,./0.png
525213.708527633,4793241.35632983,"108",,,,,./0.png
525094.7859558,4793246.72189557,"110",,,,,./0.png
525068.832248696,4793247.0812841,"111",,,,,./0.png
525060.376909392,4793177.90681094,"112",,,,,./0.png
525027.154937195,4793174.90858424,"113",,,,,./0.png
524956.562879743,4793156.53484688,"115",,,,,./0.png
524917.941151199,4793157.64649927,"116",,,,,./0.png
524875.152931524,4793171.89820689,"117",,,,,./0.png
524837.288718829,4793165.48302201,"118",,,,,./0.png
524823.355305144,4793202.21898759,"119",,,,,./0.png
524831.582099658,4793306.79918468,"120",,,,,./0.png
524833.780319849,4793316.26128521,"121",,,,,./0.png
524821.506004417,4793313.923398,"122",,,,,./0.png
524810.596590968,4793342.50800032,"123",,,,,./0.png
524796.132963804,4793355.56162994,"124",,,,,./0.png
524777.460692522,4793365.0725246,"125",,,,,./0.png
524742.143650217,4793378.37830693,"126",,,,,./0.png
524664.482681163,4793302.76057544,"127",,,,,./0.png
524600.727331424,4793365.70859811,"128",,,,,./0.png
524557.983981527,4793322.67642351,"129",,,,,./0.png
524536.456670103,4793370.47183784,"130",,,,,./0.png
524583.371221466,4793411.15165776,"131",,,,,./0.png
524560.389368714,4793434.82048808,"132",,,,,./0.png
524576.660234401,4793452.68871315,"133",,,,,./0.png
524609.607184906,4793481.03806496,"134",,,,,./0.png
524626.072463342,4793491.0356362,"135",,,,,./0.png
525145.270439511,4793274.81119187,109exist.,,,,,./0.png
524588.53906207,4793757.67387596,10exist.,,,,,./0.png
524564.354768139,4793775.31177282,11exist.,,,,,./0.png
524513.257608381,4793815.69306265,12exist.,,,,,./0.png
524488.746545309,4793831.85051889,13exist.,,,,,./0.png
524478.672417442,4793825.64735021,14exist.,,,,,./0.png
524386.847983846,4793889.27904438,15exist.,,,,,./0.png
524307.034389206,4793946.52355501,16exist.,,,,,./0.png
524278.358224742,4793940.12076807,17exist.,,,,,./0.png
524251.246093671,4793950.40369707,18exist.,,,,,./0.png
524235.405545924,4793958.39357692,19exist.,,,,,./0.png
524205.007066145,4793977.76010351,20exist.,,,,,./0.png
524205.828394053,4793886.05145268,22exist.,,,,,./0.png
524236.738173605,4793859.50813379,23exist.,,,,,./0.png
524266.051467757,4793834.73906012,24exist.,,,,,./0.png
524288.103010979,4793815.9280692,25exist.,,,,,./0.png
524316.818863517,4793791.66889293,26exist,,,,,./0.png
524325.783401381,4793783.55728566,27exist.,,,,,./0.png
524337.583293554,4793761.40345963,28exist.,,,,,./0.png
524343.486065765,4793749.88105886,29exist.,,,,,./0.png
524348.302098202,4793740.480009,30exist.,,,,,./0.png
524357.008159076,4793723.48549881,31exist.,,,,,./0.png
524367.191947581,4793703.60641687,32exist.,,,,,./0.png
524379.712786218,4793679.16533808,33exist.,,,,,./0.png
524364.300716574,4793612.22569312,34 exist.,,,,,./0.png
524364.123926194,4793596.93837149,35exist.,,,,,./0.png
524394.738838831,4793605.19360521,36exist.,,,,,./0.png
524399.456659945,4793562.95374683,37exist.,,,,,./0.png
524104.122945675,4793561.12988279,52 (no amoj),,,,,./0.png
524086.517037388,4793576.82047276,53 (no amoj),,,,,./0.png
524090.8448296,4793583.63168387,54 (no amoj),,,,,./0.png
524100.491845466,4793580.50359721,55 (no amoj),,,,,./0.png
524111.811909693,4793597.35803957,56 (no amoj),,,,,./0.png
524045.957264186,4794155.27187939,80  (no amoj),,,,,./0.png
524189.489926932,4794122.76492683,88exist.,,,,,./0.png
524630.258379389,4793764.91629175,9 exist.,,,,,./0.png
524219.352037541,4794205.88149945,91exist.,,,,,./0.png
